2018-08-30 13:36:01.155709: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:897] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-08-30 13:36:01.156105: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1405] Found device 0 with properties: 
name: GeForce GTX 960 major: 5 minor: 2 memoryClockRate(GHz): 1.228
pciBusID: 0000:01:00.0
totalMemory: 1,95GiB freeMemory: 1,73GiB
2018-08-30 13:36:01.156126: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1484] Adding visible gpu devices: 0
2018-08-30 13:36:01.390848: I tensorflow/core/common_runtime/gpu/gpu_device.cc:965] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-08-30 13:36:01.390897: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971]      0 
2018-08-30 13:36:01.390908: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] 0:   N 
2018-08-30 13:36:01.391078: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1097] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 1485 MB memory) -> physical GPU (device: 0, name: GeForce GTX 960, pci bus id: 0000:01:00.0, compute capability: 5.2)
0.14.0
Uppercase local vars:
	BATCH_SIZE: 64
	CRITIC_ITERS: 5
	DIM: 64
	IM_DIM: 32
	ITERS: 10000
	LAMBDA: 10
	MODE: wgan-gp
	OUTPUT_DIM: 3072
Creating train generator with 139 samples.
sample 4 	 MSE: 6457.28 	 SSIM: -0.00 

sample 5 	 MSE: 7562.87 	 SSIM: -0.00 

sample 6 	 MSE: 7401.08 	 SSIM: -0.00 

sample 7 	 MSE: 6026.53 	 SSIM: -0.00 

sample 8 	 MSE: 7946.84 	 SSIM: -0.00 

sample 9 	 MSE: 5342.82 	 SSIM: -0.00 

sample 10 	 MSE: 6463.31 	 SSIM: -0.00 

sample 11 	 MSE: 6046.67 	 SSIM: -0.00 

sample 12 	 MSE: 6202.20 	 SSIM: -0.00 

sample 13 	 MSE: 6638.74 	 SSIM: -0.00 

sample 14 	 MSE: 6251.39 	 SSIM: -0.00 

sample 15 	 MSE: 5853.22 	 SSIM: -0.00 

sample 16 	 MSE: 6008.91 	 SSIM: -0.00 

sample 17 	 MSE: 6055.04 	 SSIM: -0.00 

sample 18 	 MSE: 6092.68 	 SSIM: -0.00 

sample 19 	 MSE: 6282.75 	 SSIM: -0.00 

sample 20 	 MSE: 5193.65 	 SSIM: -0.00 

sample 21 	 MSE: 5634.83 	 SSIM: -0.00 

sample 22 	 MSE: 6224.89 	 SSIM: -0.00 

sample 23 	 MSE: 6506.96 	 SSIM: -0.00 

sample 24 	 MSE: 6666.40 	 SSIM: -0.00 

sample 25 	 MSE: 6395.76 	 SSIM: -0.00 

sample 26 	 MSE: 6510.23 	 SSIM: -0.00 

sample 27 	 MSE: 7588.08 	 SSIM: -0.00 

sample 28 	 MSE: 6624.46 	 SSIM: -0.00 

sample 29 	 MSE: 7707.48 	 SSIM: -0.00 

sample 30 	 MSE: 4002.14 	 SSIM: -0.00 

sample 31 	 MSE: 5182.38 	 SSIM: -0.00 

sample 32 	 MSE: 6204.41 	 SSIM: -0.00 

sample 33 	 MSE: 9571.79 	 SSIM: 0.00 

sample 34 	 MSE: 7551.70 	 SSIM: -0.00 

sample 35 	 MSE: 5800.74 	 SSIM: -0.00 

sample 36 	 MSE: 6298.37 	 SSIM: -0.00 

sample 37 	 MSE: 6977.98 	 SSIM: -0.00 

sample 38 	 MSE: 6230.88 	 SSIM: -0.00 

sample 39 	 MSE: 6032.76 	 SSIM: -0.00 

sample 40 	 MSE: 5649.92 	 SSIM: -0.00 

sample 41 	 MSE: 6855.36 	 SSIM: -0.00 

sample 42 	 MSE: 6682.51 	 SSIM: -0.00 

sample 43 	 MSE: 6756.84 	 SSIM: -0.00 

sample 44 	 MSE: 6346.11 	 SSIM: -0.00 

sample 45 	 MSE: 6352.10 	 SSIM: -0.00 

sample 46 	 MSE: 7038.23 	 SSIM: -0.00 

sample 47 	 MSE: 7060.98 	 SSIM: -0.00 

sample 48 	 MSE: 6125.31 	 SSIM: -0.00 

sample 49 	 MSE: 6404.94 	 SSIM: -0.00 

sample 50 	 MSE: 6494.48 	 SSIM: -0.00 

sample 51 	 MSE: 5864.92 	 SSIM: -0.00 

sample 52 	 MSE: 6421.89 	 SSIM: -0.00 

sample 53 	 MSE: 6274.26 	 SSIM: -0.00 

sample 54 	 MSE: 5486.88 	 SSIM: -0.00 

sample 55 	 MSE: 5958.84 	 SSIM: -0.00 

sample 56 	 MSE: 7213.37 	 SSIM: -0.00 

sample 57 	 MSE: 5365.12 	 SSIM: -0.00 

sample 58 	 MSE: 5183.45 	 SSIM: -0.00 

sample 59 	 MSE: 6492.54 	 SSIM: -0.00 

sample 60 	 MSE: 6356.35 	 SSIM: -0.00 

sample 61 	 MSE: 6017.78 	 SSIM: -0.00 

sample 62 	 MSE: 4167.13 	 SSIM: -0.00 

sample 63 	 MSE: 6492.51 	 SSIM: -0.00 

iter 199	SSIM for sample 1	8.95539961764016e-06	dev disc cost	-23.92188262939453	SSIM for sample 2	-9.616180083209113e-05	MSE for sample 3	6420.3857421875	SSIM for sample 3	-6.634307021181646e-05	time	8.764886500835418	MSE for sample 1	9646.76953125	train disc cost	-25.367361068725586	MSE for sample 2	5851.33642578125
Iteration 299 : 

sample 0 	 MSE: 9647.11 	 SSIM: 0.00 

sample 1 	 MSE: 5851.52 	 SSIM: -0.00 

sample 2 	 MSE: 6419.56 	 SSIM: -0.00 

sample 3 	 MSE: 10037.39 	 SSIM: 0.00 

sample 4 	 MSE: 6457.13 	 SSIM: -0.00 

sample 5 	 MSE: 7562.16 	 SSIM: -0.00 

sample 6 	 MSE: 7400.95 	 SSIM: -0.00 

sample 7 	 MSE: 6027.11 	 SSIM: -0.00 

sample 8 	 MSE: 7947.01 	 SSIM: -0.00 

sample 9 	 MSE: 5342.46 	 SSIM: -0.00 

sample 10 	 MSE: 6461.87 	 SSIM: -0.00 

sample 11 	 MSE: 6047.06 	 SSIM: -0.00 

sample 12 	 MSE: 6202.38 	 SSIM: -0.00 

sample 13 	 MSE: 6639.07 	 SSIM: -0.00 

sample 14 	 MSE: 6250.64 	 SSIM: -0.00 

sample 15 	 MSE: 5852.91 	 SSIM: -0.00 

sample 16 	 MSE: 6009.57 	 SSIM: -0.00 

sample 17 	 MSE: 6055.45 	 SSIM: -0.00 

sample 18 	 MSE: 6093.01 	 SSIM: -0.00 

sample 19 	 MSE: 6282.48 	 SSIM: -0.00 

sample 20 	 MSE: 5193.72 	 SSIM: -0.00 

sample 21 	 MSE: 5634.47 	 SSIM: -0.00 

sample 22 	 MSE: 6225.15 	 SSIM: -0.00 

sample 23 	 MSE: 6506.76 	 SSIM: -0.00 

sample 24 	 MSE: 6666.26 	 SSIM: -0.00 

sample 25 	 MSE: 6395.83 	 SSIM: -0.00 

sample 26 	 MSE: 6509.30 	 SSIM: -0.00 

sample 27 	 MSE: 7587.20 	 SSIM: -0.00 

sample 28 	 MSE: 6624.32 	 SSIM: -0.00 

sample 29 	 MSE: 7707.42 	 SSIM: -0.00 

sample 30 	 MSE: 4001.25 	 SSIM: -0.00 

sample 31 	 MSE: 5182.35 	 SSIM: -0.00 

sample 32 	 MSE: 6204.60 	 SSIM: -0.00 

sample 33 	 MSE: 9572.06 	 SSIM: -0.00 

sample 34 	 MSE: 7551.09 	 SSIM: -0.00 

sample 35 	 MSE: 5800.45 	 SSIM: -0.00 

sample 36 	 MSE: 6298.61 	 SSIM: -0.00 

sample 37 	 MSE: 6977.66 	 SSIM: -0.00 

sample 38 	 MSE: 6230.88 	 SSIM: -0.00 

sample 39 	 MSE: 6032.68 	 SSIM: -0.00 

sample 40 	 MSE: 5649.30 	 SSIM: -0.00 

sample 41 	 MSE: 6855.41 	 SSIM: -0.00 

sample 42 	 MSE: 6681.61 	 SSIM: -0.00 

sample 43 	 MSE: 6756.67 	 SSIM: -0.00 

sample 44 	 MSE: 6345.91 	 SSIM: -0.00 

sample 45 	 MSE: 6352.19 	 SSIM: -0.00 

sample 46 	 MSE: 7038.12 	 SSIM: -0.00 

sample 47 	 MSE: 7060.70 	 SSIM: -0.00 

sample 48 	 MSE: 6125.38 	 SSIM: -0.00 

sample 49 	 MSE: 6405.74 	 SSIM: -0.00 

sample 50 	 MSE: 6494.65 	 SSIM: -0.00 

sample 51 	 MSE: 5864.94 	 SSIM: -0.00 

sample 52 	 MSE: 6420.71 	 SSIM: -0.00 

sample 53 	 MSE: 6273.75 	 SSIM: -0.00 

sample 54 	 MSE: 5486.69 	 SSIM: -0.00 

sample 55 	 MSE: 5959.00 	 SSIM: -0.00 

sample 56 	 MSE: 7212.46 	 SSIM: -0.00 

sample 57 	 MSE: 5364.43 	 SSIM: -0.00 

sample 58 	 MSE: 5183.15 	 SSIM: -0.00 

sample 59 	 MSE: 6492.88 	 SSIM: -0.00 

sample 60 	 MSE: 6356.58 	 SSIM: -0.00 

sample 61 	 MSE: 6018.24 	 SSIM: -0.00 

sample 62 	 MSE: 4167.18 	 SSIM: -0.00 

sample 63 	 MSE: 6492.35 	 SSIM: -0.00 

iter 299	SSIM for sample 1	6.597846696969109e-06	dev disc cost	-17.945737838745117	SSIM for sample 2	-0.00010064597838799551	MSE for sample 3	6419.55859375	SSIM for sample 3	-7.712767159736882e-05	time	8.579281771183014	MSE for sample 1	9647.111328125	train disc cost	-21.121871948242188	MSE for sample 2	5851.51513671875
Iteration 399 : 

sample 0 	 MSE: 9647.24 	 SSIM: 0.00 

sample 1 	 MSE: 5851.52 	 SSIM: -0.00 

sample 2 	 MSE: 6417.76 	 SSIM: -0.00 

sample 3 	 MSE: 10037.49 	 SSIM: 0.00 

sample 4 	 MSE: 6455.92 	 SSIM: -0.00 

sample 5 	 MSE: 7560.96 	 SSIM: -0.00 

sample 6 	 MSE: 7399.57 	 SSIM: -0.00 

sample 7 	 MSE: 6025.89 	 SSIM: -0.00 

sample 8 	 MSE: 7946.85 	 SSIM: -0.00 

sample 9 	 MSE: 5342.42 	 SSIM: -0.00 

sample 10 	 MSE: 6460.26 	 SSIM: -0.00 

sample 11 	 MSE: 6045.91 	 SSIM: -0.00 

